"(PDH-CSV 4.0) (","\\DESKTOP-INSGQFC\Memory\Cache Bytes","\\DESKTOP-INSGQFC\Memory\Committed Bytes","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Access Methods\Page Splits/sec","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Buffer Manager\Buffer cache hit ratio","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:General Statistics\User Connections","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Free Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Maximum Workspace Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Total Server Memory (KB)","\\DESKTOP-INSGQFC\Processor(_Total)\% Processor Time"
"11/10/2022 17:22:28.206","301113344","8267505664","0","100","1","34216","1744320","237464","5.0323812767912539101"
"11/10/2022 17:22:43.215","300961792","8268750848","0","100","1","34184","1744320","237464","2.3364758281129827111"
"11/10/2022 17:22:58.221","300474368","8291688448","0","100","1","34808","1800360","237464","2.8909759825478831274"
"11/10/2022 17:23:13.213","298852352","8283062272","0","100","1","34880","1788360","237464","5.4569617117131823392"
"11/10/2022 17:23:28.223","298098688","8259690496","0","100","1","34872","26400","237464","3.774256463761715974"
"11/10/2022 17:23:43.214","298414080","8268279808","0","100","1","34832","1788720","237464","2.282370951391132774"
"11/10/2022 17:23:58.216","297402368","8284246016","0","100","1","34336","1788720","237464","2.1516849275306171307"
"11/10/2022 17:24:13.227","297955328","8283111424","0","100","1","34376","25920","237464","2.9379150326872660592"
"11/10/2022 17:24:28.215","298299392","8285622272","0","100","1","33944","1794240","237464","2.8517472331035076394"
"11/10/2022 17:24:43.216","297758720","8267448320","0","100","1","34440","1801320","237464","4.5339306872263058779"
"11/10/2022 17:24:58.219","298151936","8283762688","0","100","1","34224","1801320","237464","2.2862344540956036631"
"11/10/2022 17:25:13.213","297066496","8278347776","0","100","1","34200","1801320","237464","2.9410725838892148865"
"11/10/2022 17:25:28.218","296599552","8272027648","0","100","1","34328","1791480","237464","3.3929385360075614564"
"11/10/2022 17:25:43.203","296914944","8253521920","0","100","1","34408","1796640","237464","4.2768167309209070837"
"11/10/2022 17:25:58.210","296341504","8269168640","0","100","1","34280","1796640","237464","3.1061402094826884301"
"11/10/2022 17:26:13.211","278839296","8355426304","0","100","1","34256","1442760","237464","9.9406670020585110592"
"11/10/2022 17:26:28.224","276242432","8311070720","0","100","1","34304","1728720","237464","7.9712755731302316065"
"11/10/2022 17:26:43.222","276766720","8286208000","0","100","1","34384","25920","237464","5.4025514660460904892"
"11/10/2022 17:26:58.214","277090304","8290320384","0","100","1","34352","1752240","237464","3.9594620391163903861"
"11/10/2022 17:27:13.214","275587072","8286494720","0","100","1","34312","1786440","237464","3.8298935810233580845"
"11/10/2022 17:27:28.223","276176896","8285315072","0","100","1","34224","1786440","237464","3.156069448351117579"
"11/10/2022 17:27:43.215","276234240","8281100288","0","100","1","34312","1776120","237464","3.3731376162743686997"
"11/10/2022 17:27:58.216","275484672","8268886016","0","100","1","34336","1784040","237464","4.1732422987801225389"
"11/10/2022 17:28:13.230","275525632","8271810560","0","100","1","34288","1784040","237464","2.8164338658725474041"
"11/10/2022 17:28:28.219","275558400","8286674944","0","100","1","34208","1784040","237464","2.4784083714337268312"
"11/10/2022 17:28:43.217","275701760","8280879104","0","100","1","34280","1787280","237464","3.4519800527845867499"
"11/10/2022 17:28:58.225","276267008","8263856128","0","100","1","34352","25920","237464","4.0593380893837132106"
"11/10/2022 17:29:13.222","276574208","8275402752","0","100","1","34304","1785000","237464","2.8486498642353974553"
"11/10/2022 17:29:28.216","275116032","8288169984","0","100","1","33856","1785000","237464","2.9538404418974040233"
"11/10/2022 17:29:43.225","275570688","8300244992","0","100","1","34296","25800","237464","3.7572035125402303279"
"11/10/2022 17:29:58.218","275632128","8313028608","0","100","1","33944","1769400","237464","2.6739808846156454258"
"11/10/2022 17:30:13.211","275206144","8284794880","0","100","1","34136","1769160","237464","5.0720655885097336579"
"11/10/2022 17:30:28.213","275456000","8296325120","0","100","1","34040","1769160","237464","1.968436543334839417"
"11/10/2022 17:30:43.216","274202624","8296148992","0","100","1","33992","1769160","237464","2.4262078241844453608"
"11/10/2022 17:30:58.227","274259968","8310022144","0","100","1","34024","1760160","237464","3.9742567117399874022"
"11/10/2022 17:31:13.220","274571264","8269737984","0","100","1","34144","25680","237464","4.3071817340202267488"
"11/10/2022 17:31:28.212","274911232","8277458944","0","100","1","34056","1765560","237464","2.7964566819123959363"
"11/10/2022 17:31:43.224","284168192","8387579904","0","100","1","34016","1721760","237464","4.7924506196937226576"
"11/10/2022 17:31:58.218","276426752","8355835904","0","100","1","34032","25560","237464","4.3092291344802529096"
"11/10/2022 17:32:13.203","276467712","8352129024","0","100","1","34016","1716600","237464","2.7714896274118605568"
"11/10/2022 17:32:28.206","276774912","8334295040","0","100","1","34104","1976760","237464","5.3810716277914778516"
"11/10/2022 17:32:43.217","276336640","8343957504","0","100","1","34072","1941600","237464","3.912814842998235676"
"11/10/2022 17:32:58.221","276590592","8343093248","0","100","1","34832","1919280","237464","2.6165371148895832931"
"11/10/2022 17:33:13.209","277446656","8339726336","0","100","1","34872","1896720","237464","4.3511151630404309998"
"11/10/2022 17:33:28.223","276983808","8315183104","0","100","1","34912","1868400","237464","4.0748334049335870333"
"11/10/2022 17:33:43.209","277008384","8314122240","0","100","1","34888","1846800","237464","2.7993065591928933955"
"11/10/2022 17:33:58.222","277331968","8303857664","0","100","1","34296","1846800","237464","3.2072125672191531542"
"11/10/2022 17:34:13.211","276652032","8309129216","0","100","1","34360","1808040","237464","8.0678838165880168987"
"11/10/2022 17:34:28.214","277295104","8287911936","0.46655856504714521282","100","1","34416","25920","237464","4.0339341107734849601"
"11/10/2022 17:34:43.226","277557248","8296226816","0","100","1","34408","1806840","237464","3.3287522850782735873"
"11/10/2022 17:34:58.216","276832256","8320737280","0","100","1","34192","1806840","237464","2.5174417741710919394"
"11/10/2022 17:35:13.217","277540864","8322318336","0","100","1","34280","25800","237464","4.3042585787697813515"
"11/10/2022 17:35:28.211","278245376","8346554368","0","100","1","34264","1778160","237464","4.8415081717036789755"
"11/10/2022 17:35:43.211","277794816","8326873088","0","100","1","34368","1771800","237464","4.7021813899856486074"
"11/10/2022 17:35:58.220","278548480","8359415808","0","100","1","34240","1771800","237464","5.1884071481561715444"
"11/10/2022 17:36:13.208","278425600","8347672576","0","100","1","34208","1747080","237464","3.8163908128499679506"
"11/10/2022 17:36:28.216","280821760","8385175552","0","100","1","34224","1579800","237464","19.390560123794241321"
"11/10/2022 17:36:43.220","278745088","8344072192","0","100","1","34344","1697760","237464","13.943546044908018189"
"11/10/2022 17:36:58.217","278806528","8396603392","0","100","1","34256","1694520","237464","7.5035961559765436135"
"11/10/2022 17:37:13.219","277839872","8395063296","0","100","1","34224","1694520","237464","3.2193367396338712361"
"11/10/2022 17:37:28.204","278458368","8394235904","0","100","1","34256","25800","237464","4.9541474532301288392"
"11/10/2022 17:37:43.206","277692416","8375758848","0","100","1","34232","1702920","237464","2.824898895066985105"
"11/10/2022 17:37:58.220","278032384","8367321088","0","100","1","34648","1708920","237464","4.7127359493011837799"
"11/10/2022 17:38:13.208","278327296","8381239296","0","100","1","34584","1708920","237464","3.2705897221057322888"
"11/10/2022 17:38:28.216","277876736","8380657664","0","100","1","34496","1708920","237464","7.1186759720879955182"
"11/10/2022 17:38:43.229","277901312","8373608448","0","100","1","34544","1708560","237464","4.4051129743268191419"
"11/10/2022 17:38:58.228","278224896","8325816320","0","100","1","34576","1732800","237464","5.5005197901104700975"
"11/10/2022 17:39:13.223","277524480","8337743872","0","100","1","34520","1732800","237464","2.4804732160739306757"
"11/10/2022 17:39:28.219","277852160","8335413248","0.066683426434510542635","100","1","33416","1732800","237464","2.6958246278548592123"
"11/10/2022 17:39:43.216","278450176","8325570560","0","100","1","34496","1723560","237464","5.9572180664229312796"
"11/10/2022 17:39:58.231","277790720","8311173120","0","100","1","34304","25800","237464","4.5654113026515901197"
"11/10/2022 17:40:13.224","278605824","8315940864","0","100","1","34288","1731840","237464","3.9880897865393283297"
"11/10/2022 17:40:28.209","278896640","8317902848","0","100","1","34216","1731840","237464","2.6533273142725133376"
"11/10/2022 17:40:43.225","278151168","8318480384","0","100","1","34280","25800","237464","3.8240886648092886624"
"11/10/2022 17:40:58.210","278474752","8333299712","0","100","1","34184","1731840","237464","4.1602648797870012132"
"11/10/2022 17:41:13.206","279040000","8308408320","0","100","1","34272","1732560","237464","6.8690556442969619155"
"11/10/2022 17:41:28.215","278323200","8320532480","0","100","1","34200","1732560","237464","5.3694726244415509342"
"11/10/2022 17:41:43.222","278888448","8308191232","0","100","1","34184","1732560","237464","3.2059680295743908651"
"11/10/2022 17:41:58.216","279207936","8331169792","0","100","1","34176","1731720","237464","9.5359966547310275331"
"11/10/2022 17:42:13.228","278466560","8305152000","0","100","1","34288","25800","237464","5.0632862655207393487"
"11/10/2022 17:42:28.216","279269376","8314437632","0","100","1","34232","1735080","237464","4.3247492794053936649"
"11/10/2022 17:42:43.230","279564288","8317554688","0","100","1","34184","1735080","237464","4.2571455789516488011"
"11/10/2022 17:42:58.217","279097344","8332308480","0","100","1","34896","26400","237464","3.5836479195319181912"
"11/10/2022 17:43:13.222","279408640","8332361728","0","100","1","34808","1728360","237464","3.1051658513335911316"
"11/10/2022 17:43:28.220","279609344","8309178368","0","100","1","34824","1732440","237464","8.2440291191745451727"
"11/10/2022 17:43:43.212","280465408","8310128640","0","100","1","34792","1732440","237464","3.0332876407460074297"
"11/10/2022 17:43:58.219","281030656","8323358720","0","100","1","34344","1732440","237464","3.521080612843086044"
"11/10/2022 17:44:13.208","281337856","8322449408","0","100","1","34408","1730040","237464","5.4513741308248047091"
"11/10/2022 17:44:28.223","279838720","8312995840","0","100","1","34504","1761600","237464","6.0314409948944653905"
"11/10/2022 17:44:43.221","280416256","8313495552","0","100","1","34472","1761600","237464","6.0155796593214354573"
"11/10/2022 17:44:58.208","279719936","8323633152","0","100","1","34008","1761600","237464","4.6720188088600123066"
"11/10/2022 17:45:13.212","278069248","8323166208","0","100","1","34120","25680","237464","7.8522214069917772861"
"11/10/2022 17:45:28.224","278630400","8297439232","0","100","1","34064","1753200","237464","5.6612027125851778209"
"11/10/2022 17:45:43.221","279126016","8299409408","0","100","1","34208","1753080","237464","6.8799844604859998753"
"11/10/2022 17:45:58.217","278958080","8325988352","0","100","1","34080","1753080","237464","4.4940555053691539911"
"11/10/2022 17:46:13.218","279269376","8324603904","0","100","1","34040","1753080","237464","5.499371463796387971"
"11/10/2022 17:46:28.212","279576576","8326148096","0","100","1","34104","1741680","237464","6.8642564858366839076"
"11/10/2022 17:46:43.213","279093248","8302026752","0","100","1","34184","1745280","237464","8.1048576681377113573"
"11/10/2022 17:46:58.222","279371776","8303513600","0","100","1","34040","1745280","237464","5.5660588919824842691"
"11/10/2022 17:47:13.216","278142976","8303755264","0","100","1","34032","1745280","237464","3.7649892276477636699"
"11/10/2022 17:47:28.228","278401024","8120201216","0","100","1","34072","1964400","237464","4.9425185449614943423"
"11/10/2022 17:47:43.227","278970368","8123432960","0","100","1","34152","25680","237464","6.973142867577819537"
"11/10/2022 17:47:58.215","277954560","8158474240","0","100","1","34840","1894320","237464","3.6608739928310263245"
"11/10/2022 17:48:13.226","278257664","8150175744","0","100","1","34768","1866360","237464","4.065928103160709739"
